ts,state,center_offset,ndt_response_time(ms),instance,gnss_pose_x,gnss_pose_y,ndt_score,current_pose_x,current_pose_y
34946.811529936,None,0.10401922899156231,51.93299865722656,748,246.753,311.174,0.49080467224121094,246.975,311.154
34947.18579089,None,0.28574289142514553,49.24700164794922,751,245.513,311.177,0.4886559545993805,245.745,311.161
34947.580951191,None,0.49279306001605605,52.150001525878906,754,244.237,311.18,0.4929838180541992,244.481,311.15
34947.944003023,None,0.2104590221396987,47.18199920654297,757,242.946,311.185,0.5041842460632324,243.167,311.16
34948.327532035,None,0.04243819034782015,52.76100158691406,760,241.745,311.191,0.48265087604522705,241.953,311.169
34948.691866313,None,0.1506585543538716,47.1349983215332,763,240.567,311.197,0.49286746978759766,240.774,311.178
34949.075658187,None,0.35227971840570266,52.9739990234375,766,239.323,311.204,0.4894137382507324,239.564,311.176
34949.494181115,None,0.41543471207879773,58.45600128173828,769,238.029,311.212,0.5116510391235352,238.262,311.2
34949.868412487,None,0.2366114959168196,69.30500030517578,772,236.837,311.219,0.5000194907188416,237.006,311.209
34950.234789395,None,0.16079800993792714,49.0369987487793,775,235.76,311.227,0.5106306672096252,235.93,311.218
